symbol,name,sector,score,signal,trend,momentum,money,value,close,lastDate,ret5,ret20,ret60,rs60,vsSma20,vsSma50,vsSma200,rsi,macdAboveSignal,adx,atrPct,cloud,fromHigh52,volRatio,support1,resistance1,netReal5B,netReal20B,power5,smt5B,liquidityB,eps,pe,sectorPE,peVsSector,entryLow,stop,target1,target2,rr,flags
شکربن,کربن‌ ایران‌,محصولات شیمیایی,88.2,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,85,92.8,72,9810,20260922,14.1,22.9,64.3,24.5,11.6,24.1,58.4,74.3,true,40.4,3.16,above,-0.4,1.34,8940,,11.28,27.16,1.37,24.01,20.96,1486,6.6,9.63,-31.4,9500,9035,10740,11359,1.2,واگرایی منفی RSI
ولساپا,لیزینگ رایان‌ سایپا,سایر واسطه گریهای مالی,86.9,قوی ولی پرشده؛ منتظر پولبک,100,60,99.5,80,1382,20260922,10,40.2,64.1,24.2,20.3,41.5,86,85.1,true,53.2,2.84,above,-0.4,1.73,1076,,20.83,44.11,11.36,50.4,17.07,335,4.13,9.94,-58.5,1343,1304,1500,1578,1.5,اشباع خرید | فاصله زیاد از MA20
خکرمان,سرمایه گذاری آرمان گستر پاریز,خودرو و ساخت قطعات,85,قوی ولی پرشده؛ منتظر پولبک,100,70,84,80,11400,20260922,10.1,20,110.8,71,13.4,44.9,117.9,80.9,true,55.2,3.49,above,-2,1.86,10205,,50.94,48.27,2.26,-49.5,27.2,4303,2.65,5.87,-54.9,11002,10604,12594,13389,1.5,اشباع خرید
پارس,پتروشیمی پارس,محصولات شیمیایی,85,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,75,88,72,2758,20260922,1.5,24.5,42.9,3.1,11.2,23.2,32.1,70.1,true,37.3,3.23,above,-5.8,1.13,2617,2798,20.96,295.46,4.35,4.07,98.91,492,5.61,9.63,-41.8,2669,2572,2798,2929,0.22,
ونفت,سرمایه‌گذاری‌ صنعت‌ نفت‌,فراورده های نفتی، کک و سوخت هسته ای,84.2,ورود پله‌ای,100,85,68.8,80,11120,20260922,11.2,16.8,163,123.2,11,21.9,129.8,73.6,true,38.3,3.43,above,-3.7,1.41,10330,,23.93,26.67,1.41,-4.09,31.78,3216,3.46,6.26,-44.8,10739,10167,12263,13026,1.2,واگرایی منفی RSI
بترانس,ایران‌ ترانسفو,ماشین آلات و دستگاه‌های برقی,84,ورود پله‌ای,88,80,98.5,68,3550,20260922,4.7,14.9,27.4,-12.4,7.2,14.8,46.1,65.7,true,18.2,3.48,above,-0.6,1.79,3330,,231.15,332.58,2.31,106.56,89.81,747,4.75,6.15,-22.7,3426,3268,3921,4168,1.32,
ثجنوب,سرمایه گذاری مسکن جنوب,انبوه سازی، املاک و مستغلات,83.3,ورود پله‌ای,100,80,69.2,80,19120,20260922,4.6,9.4,26,-13.8,6.5,11.3,62.8,62.8,true,26.7,3.78,above,-4.1,1.66,18345,,35.43,64.85,1.03,-1.8,20.56,6363,3,23.59,-87.3,18398,17984,21287,22732,1.91,واگرایی منفی RSI
البرز,بیمه البرز,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,83,قوی ولی پرشده؛ منتظر پولبک,100,70,88,68,3082,20260922,9.9,47.2,60,20.2,18.4,40.7,60.7,86.4,true,61.2,3.09,above,0,0.71,2896,,11.68,138.28,3.98,19.51,27.98,758,4.07,4.59,-11.4,2987,2848,3368,3558,1.22,اشباع خرید | فاصله زیاد از MA20
شبصیر,تولیدات پتروشیمی قائد بصیر,محصولات شیمیایی,81.4,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,75,73.4,72,15580,20260922,0.4,28.9,57.6,17.8,10.3,31.7,73.4,73,true,58.1,3.3,above,-2.6,1.01,13440,16000,5.2,48.86,1.02,6.82,30.69,2884,5.4,8.01,-32.6,15065,14551,16000,17029,0.41,
کپرسپولیس,مجتمع کاشی و سنگ پرسپولیس یزد,کاشی و سرامیک,81.1,ورود پله‌ای,100,88,97,37,8760,20260922,6.1,13,32.2,-7.7,5,16.6,,64.2,true,35.3,3.6,above,-4.6,1.27,8440,,5.7,24.91,8.32,81.6,18.39,966,9.07,9.26,-2.1,8444,8282,9707,10338,1.98,واگرایی منفی RSI
محتشم,نساجی هدیه البرز مشهد,منسوجات,81,قوی ولی پرشده؛ منتظر پولبک,100,85,99,37,16110,20260922,8.9,24,57.9,18.1,15.6,37.4,73.6,76.6,true,44.3,2.91,above,-2.7,2.21,13580,,35.94,105.1,11.56,192.29,52.76,1926,8.36,7.72,8.3,15641,15172,17517,18455,1.5,واگرایی منفی RSI | فاصله زیاد از MA20
والماس,س. الماس حکمت ایرانیان,سرمایه گذاریها,81,قوی ولی پرشده؛ منتظر پولبک,100,75,84,60,2986,20260922,7.2,39.1,75.2,35.4,18,33.1,85.9,78.5,true,59.2,3.04,above,-4.7,2.36,2135,,20.13,24.55,11.05,-32.66,9.95,462,6.46,8.73,-26,2895,2805,3258,3439,1.5,اشباع خرید | فاصله زیاد از MA20
کویر,تولیدی فولاد سپید فراب کویر,فلزات اساسی,80.5,قوی ولی پرشده؛ منتظر پولبک,100,70,84,62,2714,20260922,12.8,45.1,75.8,36,23.7,47.8,89.1,90.2,true,55,2.7,above,-2.6,2.39,1983,,38.36,170,3.68,-27.34,63.89,292,9.29,13.48,-31,2641,2567,2934,3080,1.5,اشباع خرید | فاصله زیاد از MA20
چاپ,ص.چاپ وبسته بندی آسان قزوین,محصولات کاغذی,79.9,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,90,65,87.5,72,19650,20260922,-6.1,12.6,78.6,38.8,-2,21.8,,56.7,false,57.5,3.84,above,-12,1.6,12690,19890,34.39,70.52,5.19,133.56,33.03,2147,9.15,16.48,-44.5,18896,18143,19890,22340,0.16,
نمرینو,ایران‌ مرینوس‌,منسوجات,79.9,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,80,98.5,37,7680,20260922,7.1,16.5,25.5,-14.3,9.5,21.6,35.4,68.7,true,36.5,3.26,above,-9.7,1.51,7200,8054,3.96,5.09,2.8,7.28,3.73,953,8.06,7.72,4.4,7430,7075,8054,8509,0.62,واگرایی منفی RSI
دی,بانک دی,بانکها و موسسات اعتباری,79.4,قوی ولی پرشده؛ منتظر پولبک,100,85,79.5,50,1686,20260922,7,11.4,65.6,25.8,13.6,32.4,85.3,75.8,true,28.3,3.14,above,0,0.95,1515,,54.48,16.44,7.45,378.46,152.15,414,4.07,,,1633,1580,1845,1951,1.5,
قپیرا,فرآورده‌های‌غدایی‌وقندپیرانشهر,قند و شکر,79.4,قوی ولی پرشده؛ منتظر پولبک,100,60,99.5,50,24120,20260922,8.3,44.4,64.4,24.6,20.1,40.3,97.8,82.1,true,53.2,2.91,above,0,1.77,18820,,8.14,26.94,2.52,10.23,4.2,2920,8.26,9.8,-15.7,23418,22717,26225,27629,1.5,اشباع خرید | فاصله زیاد از MA20
